state,county,year,total_population
AL,autauga,2000,43872
AL,baldwin,2000,141358
AL,barbour,2000,29035
AL,bibb,2000,19936
AL,blount,2000,51181
AL,bullock,2000,11604
AL,butler,2000,21313
AL,calhoun,2000,111342
AL,chambers,2000,36593
AL,cherokee,2000,24053
AL,chilton,2000,39781
AL,choctaw,2000,15850
AL,clarke,2000,27833
AL,clay,2000,14264
AL,cleburne,2000,14156
AL,coffee,2000,43540
AL,colbert,2000,55024
AL,conecuh,2000,14040
AL,coosa,2000,11843
AL,covington,2000,37490
AL,crenshaw,2000,13696
AL,cullman,2000,77580
AL,dale,2000,49068
AL,dallas,2000,46181
AL,dekalb,2000,64638
AL,elmore,2000,66230
AL,escambia,2000,38402
AL,etowah,2000,103313
AL,fayette,2000,18456
AL,franklin,2000,31208
AL,geneva,2000,25790
AL,greene,2000,9946
AL,hale,2000,18288
AL,henry,2000,16344
AL,houston,2000,88919
AL,jackson,2000,54029
AL,jefferson,2000,662214
AL,lamar,2000,15905
AL,lauderdale,2000,87982
AL,lawrence,2000,34856
AL,lee,2000,115511
AL,limestone,2000,65930
AL,lowndes,2000,13487
AL,macon,2000,24075
AL,madison,2000,277868
AL,marengo,2000,22566
AL,marion,2000,31149
AL,marshall,2000,82333
AL,mobile,2000,400061
AL,monroe,2000,24281
AL,montgomery,2000,223413
AL,morgan,2000,111194
AL,perry,2000,11808
AL,pickens,2000,20904
AL,pike,2000,29734
AL,randolph,2000,22414
AL,russell,2000,49692
AL,shelby,2000,65079
AL,st. clair,2000,144523
AL,sumter,2000,14748
AL,talladega,2000,80338
AL,tallapoosa,2000,41743
AL,tuscaloosa,2000,165191
AL,walker,2000,70680
AL,washington,2000,18112
AL,wilcox,2000,12980
AL,winston,2000,24882
AZ,apache,2000,69516
AZ,cochise ,2000,118028
AZ,coconino,2000,116717
AZ,gila,2000,51355
AZ,graham,2000,33541
AZ,greenlee,2000,8542
AZ,la paz,2000,19643
AZ,maricopa,2000,3097378
AZ,mohave,2000,156194
AZ,navajo,2000,97876
AZ,pima,2000,848521
AZ,pinal,2000,181283
AZ,santa cruz,2000,38542
AZ,yavapai,2000,168886
AZ,yuma,2000,160675
AR,arkansas,2000,20672
AR,ashley,2000,24160
AR,baxter,2000,38465
AR,benton,2000,154791
AR,boone,2000,34051
AR,bradley,2000,12603
AR,calhoun,2000,5717
AR,carroll,2000,25411
AR,chicot,2000,14083
AR,clark,2000,23508
AR,clay,2000,17542
AR,cleburne,2000,24113
AR,cleveland,2000,8544
AR,columbia,2000,25564
AR,conway,2000,20321
AR,craighead,2000,82518
AR,crawford,2000,53376
AR,crittenden,2000,50976
AR,cross,2000,19476
AR,dallas,2000,9158
AR,desha,2000,15306
AR,drew,2000,18703
AR,faulkner,2000,86456
AR,franklin,2000,17747
AR,fulton,2000,11655
AR,garland,2000,88350
AR,grant,2000,16488
AR,greene,2000,37504
AR,hempstead,2000,23560
AR,hot spring,2000,30383
AR,howard,2000,14252
AR,independence,2000,34270
AR,izard,2000,13276
AR,jackson,2000,18351
AR,jefferson,2000,84218
AR,johnson,2000,22799
AR,lafayette,2000,8527
AR,lawrence,2000,17679
AR,lee,2000,12528
AR,lincoln,2000,14474
AR,little river,2000,13610
AR,logan,2000,22504
AR,lonoke,2000,53124
AR,madison,2000,14296
AR,marion,2000,16156
AR,miller,2000,40434
AR,mississippi,2000,51827
AR,monroe,2000,10179
AR,montgomery,2000,9270
AR,nevada,2000,9920
AR,newton,2000,8647
AR,ouachita,2000,28685
AR,perry,2000,10236
AR,phillips,2000,26268
AR,pike,2000,11321
AR,poinsett,2000,25617
AR,polk,2000,20262
AR,pope,2000,54500
AR,prairie,2000,9504
AR,pulaski,2000,361905
AR,randolph,2000,18163
AR,st. francis,2000,29284
AR,saline,2000,83940
AR,scott,2000,10991
AR,searcy,2000,8273
AR,sebastian,2000,115518
AR,sevier,2000,15759
AR,sharp,2000,17151
AR,stone,2000,11522
AR,union,2000,45572
AR,van buren,2000,16211
AR,washington,2000,158806
AR,white,2000,67405
AR,woodruff,2000,8690
AR,yell,2000,21163
CA,alameda,2000,1450220
CA,alpine,2000,1205
CA,amador,2000,35173
CA,butte,2000,203926
CA,calaveras,2000,40696
CA,colusa,2000,18829
CA,contra costa,2000,953192
CA,del norte,2000,27471
CA,el dorado,2000,157134
CA,fresno,2000,801444
CA,glenn,2000,26451
CA,humboldt,2000,126403
CA,imperial,2000,142396
CA,inyo,2000,17918
CA,kern,2000,663484
CA,kings,2000,129774
CA,lake,2000,58551
CA,lassen,2000,33749
CA,los angeles,2000,9542578
CA,madera,2000,123566
CA,marin,2000,247614
CA,mariposa,2000,17143
CA,mendocino,2000,86396
CA,merced,2000,212122
CA,modoc,2000,9415
CA,mono,2000,12896
CA,monterey,2000,403065
CA,napa,2000,124545
CA,nevada,2000,92503
CA,orange,2000,2856372
CA,placer,2000,251274
CA,plumas,2000,20764
CA,riverside,2000,1559109
CA,sacramento,2000,1230150
CA,san benito,2000,53827
CA,san bernardino,2000,1718469
CA,san diego,2000,2824987
CA,san francisco,2000,777360
CA,san joaquin,2000,567968
CA,san luis obispo,2000,247878
CA,san mateo,2000,708272
CA,santa barbara,2000,399784
CA,santa clara,2000,1685842
CA,santa cruz,2000,255834
CA,shasta,2000,163782
CA,sierra,2000,3569
CA,siskiyou,2000,44230
CA,solano,2000,396974
CA,sonoma,2000,460411
CA,stanislaus,2000,449702
CA,sutter,2000,79149
CA,tehama,2000,56136
CA,trinity,2000,13006
CA,tulare,2000,368628
CA,tuolumne,2000,54651
CA,ventura,2000,756366
CA,yolo,2000,169884
CA,yuba,2000,60334
CO,adams,2000,350961
CO,alamosa,2000,14964
CO,arapahoe,2000,491701
CO,archuleta,2000,10038
CO,baca,2000,4501
CO,bent,2000,5968
CO,boulder,2000,271669
CO,broomfield,2000,39563
CO,chaffee,2000,16315
CO,cheyenne,2000,2218
CO,clear creek,2000,9310
CO,conejos,2000,8398
CO,costilla,2000,3668
CO,crowley,2000,5533
CO,custer,2000,3514
CO,delta,2000,27916
CO,denver,2000,556094
CO,dolores,2000,1846
CO,douglas,2000,180311
CO,eagle,2000,41987
CO,elbert,2000,20099
CO,el paso,2000,519463
CO,fremont,2000,46277
CO,garfield,2000,44259
CO,gilpin,2000,4816
CO,grand,2000,12490
CO,gunnison,2000,14006
CO,hinsdale,2000,790
CO,huerfano,2000,7823
CO,jackson,2000,1576
CO,jefferson,2000,526471
CO,kiowa,2000,1614
CO,kit carson,2000,7978
CO,lake,2000,7832
CO,la plata,2000,44221
CO,larimer,2000,253152
CO,las animas,2000,15276
CO,lincoln,2000,6064
CO,logan,2000,20647
CO,mesa,2000,117488
CO,mineral,2000,837
CO,moffat,2000,13166
CO,montezuma,2000,23863
CO,montrose,2000,33600
CO,morgan,2000,27256
CO,otero,2000,20248
CO,ouray,2000,3776
CO,park,2000,14696
CO,phillips,2000,4455
CO,pitkin,2000,14790
CO,prowers,2000,14444
CO,pueblo,2000,141839
CO,rio blanco,2000,5979
CO,rio grande,2000,12429
CO,routt,2000,19828
CO,saguache,2000,5978
CO,san juan,2000,559
CO,san miguel,2000,6616
CO,sedgwick,2000,2743
CO,summit,2000,23701
CO,teller,2000,20648
CO,washington,2000,4942
CO,weld,2000,183045
CO,yuma,2000,9815
CT,fairfield,2000,884420
CT,hartford,2000,858422
CT,litchfield,2000,182628
CT,middlesex,2000,155633
CT,new haven,2000,824992
CT,new london,2000,259575
CT,tolland,2000,136860
CT,windham,2000,109196
DE,kent,2000,127109
DE,new castle,2000,501913
DE,sussex,2000,157389
FL,alachua,2000,218602
FL,baker,2000,22373
FL,bay,2000,148258
FL,bradford,2000,26078
FL,brevard,2000,477735
FL,broward,2000,1631723
FL,calhoun,2000,13040
FL,charlotte,2000,142246
FL,citrus,2000,118639
FL,clay,2000,141621
FL,collier,2000,254070
FL,columbia,2000,56726
FL,desoto,2000,32262
FL,dixie,2000,13817
FL,duval,2000,779803
FL,escambia,2000,294784
FL,flagler,2000,50560
FL,franklin,2000,9841
FL,gadsden,2000,45067
FL,gilchrist,2000,14540
FL,glades,2000,10585
FL,gulf,2000,14587
FL,hamilton,2000,13325
FL,hardee,2000,26911
FL,hendry,2000,36326
FL,hernando,2000,131425
FL,highlands,2000,87407
FL,hillsborough,2000,1003269
FL,holmes,2000,18535
FL,indian river,2000,113387
FL,jackson,2000,46754
FL,jefferson,2000,12906
FL,lafayette,2000,7038
FL,lake,2000,212808
FL,lee,2000,443916
FL,leon,2000,240410
FL,levy,2000,34617
FL,liberty,2000,6996
FL,madison,2000,18746
FL,manatee,2000,265662
FL,marion,2000,260285
FL,martin,2000,127160
FL,miami-dade,2000,2258765
FL,monroe,2000,79483
FL,nassau,2000,57949
FL,okaloosa,2000,170966
FL,okeechobee,2000,35917
FL,orange,2000,902756
FL,osceola,2000,174182
FL,palm beach,2000,1135318
FL,pasco,2000,347318
FL,pinellas,2000,922261
FL,polk,2000,485378
FL,putnam,2000,70419
FL,st. johns,2000,124478
FL,st. lucie,2000,193433
FL,santa rosa,2000,118387
FL,sarasota,2000,327041
FL,seminole,2000,367089
FL,sumter,2000,53554
FL,suwannee,2000,35024
FL,taylor,2000,19215
FL,union,2000,13462
FL,volusia,2000,445060
FL,wakulla,2000,22989
FL,walton,2000,40819
FL,washington,2000,21015
GA,appling,2000,17408
GA,atkinson,2000,7610
GA,bacon,2000,10122
GA,baker,2000,4053
GA,baldwin,2000,44738
GA,banks,2000,14504
GA,barrow,2000,46561
GA,bartow,2000,76703
GA,ben hill,2000,17473
GA,berrien,2000,16250
GA,bibb,2000,153854
GA,bleckley,2000,11677
GA,brantley,2000,14668
GA,brooks,2000,16457
GA,bryan,2000,23509
GA,bulloch,2000,56223
GA,burke,2000,22276
GA,butts,2000,19737
GA,calhoun,2000,6322
GA,camden,2000,43758
GA,candler,2000,9581
GA,carroll,2000,88009
GA,catoosa,2000,53626
GA,charlton,2000,10270
GA,chatham,2000,232347
GA,chattahoochee,2000,14990
GA,chattooga,2000,25495
GA,cherokee,2000,143783
GA,clarke,2000,101972
GA,clay,2000,3366
GA,clayton,2000,238383
GA,clinch,2000,6868
GA,cobb,2000,612633
GA,coffee,2000,37566
GA,colquitt,2000,42132
GA,columbia,2000,89781
GA,cook,2000,15840
GA,coweta,2000,90148
GA,crawford,2000,12429
GA,crisp,2000,21971
GA,dade,2000,15176
GA,dawson,2000,16304
GA,decatur,2000,28245
GA,dekalb,2000,668826
GA,dodge,2000,19156
GA,dooly,2000,11495
GA,dougherty,2000,95884
GA,douglas,2000,92700
GA,early,2000,12339
GA,echols,2000,3794
GA,effingham,2000,37812
GA,elbert,2000,20497
GA,emanuel,2000,21862
GA,evans,2000,10564
GA,fannin,2000,19947
GA,fayette,2000,92082
GA,floyd,2000,90811
GA,forsyth,2000,100467
GA,franklin,2000,20336
GA,fulton,2000,817145
GA,gilmer,2000,23743
GA,glascock,2000,2562
GA,glynn,2000,67660
GA,gordon,2000,44388
GA,grady,2000,23647
GA,greene,2000,14451
GA,gwinnett,2000,596296
GA,habersham,2000,36123
GA,hall,2000,140886
GA,hancock,2000,10056
GA,haralson,2000,25832
GA,harris,2000,23797
GA,hart,2000,23054
GA,heard,2000,11085
GA,henry,2000,121572
GA,houston,2000,111248
GA,irwin,2000,9959
GA,jackson,2000,41895
GA,jasper,2000,11488
GA,jeff davis,2000,12720
GA,jefferson,2000,17246
GA,jenkins,2000,8594
GA,johnson,2000,8558
GA,jones,2000,23699
GA,lamar,2000,15969
GA,lanier,2000,7252
GA,laurens,2000,44957
GA,lee,2000,24884
GA,liberty,2000,61448
GA,lincoln,2000,8351
GA,long,2000,10354
GA,lowndes,2000,92238
GA,lumpkin,2000,21159
GA,mcduffie,2000,21251
GA,mcintosh,2000,10898
GA,macon,2000,14035
GA,madison,2000,25856
GA,marion,2000,7180
GA,meriwether,2000,22527
GA,miller,2000,6369
GA,mitchell,2000,23984
GA,monroe,2000,21834
GA,montgomery,2000,8267
GA,morgan,2000,15514
GA,murray,2000,36774
GA,muscogee,2000,186505
GA,newton,2000,62883
GA,oconee,2000,26368
GA,oglethorpe,2000,12707
GA,paulding,2000,83004
GA,peach,2000,23833
GA,pickens,2000,23359
GA,pierce,2000,15697
GA,pike,2000,13798
GA,polk,2000,38258
GA,pulaski,2000,9579
GA,putnam,2000,18859
GA,quitman,2000,2603
GA,rabun,2000,15085
GA,randolph,2000,7757
GA,richmond,2000,199663
GA,rockdale,2000,70566
GA,schley,2000,3783
GA,screven,2000,15370
GA,seminole,2000,9361
GA,spalding,2000,58486
GA,stephens,2000,25476
GA,stewart,2000,5255
GA,sumter,2000,33253
GA,talbot,2000,6535
GA,taliaferro,2000,2079
GA,tattnall,2000,22313
GA,taylor,2000,8818
GA,telfair,2000,11797
GA,terrell,2000,10968
GA,thomas,2000,42815
GA,tift,2000,38445
GA,toombs,2000,26106
GA,towns,2000,9371
GA,treutlen,2000,6882
GA,troup,2000,58892
GA,turner,2000,9501
GA,twiggs,2000,10571
GA,union,2000,17404
GA,upson,2000,27617
GA,walker,2000,61114
GA,walton,2000,61559
GA,ware,2000,35439
GA,warren,2000,6296
GA,washington,2000,21160
GA,wayne,2000,26591
GA,webster,2000,2377
GA,wheeler,2000,6183
GA,white,2000,20127
GA,whitfield,2000,84064
GA,wilcox,2000,8574
GA,wilkes,2000,10670
GA,wilkinson,2000,10222
GA,worth,2000,21968
HI,hawaii,2000,149095
HI,honolulu,2000,875061
HI,kalawao,2000,145
HI,kauai,2000,58511
HI,maui,2000,128754
ID,ada,2000,303174
ID,adams,2000,3458
ID,bannock,2000,75671
ID,bear lake,2000,6425
ID,benewah,2000,9193
ID,bingham,2000,41748
ID,blaine,2000,19123
ID,boise,2000,6746
ID,bonner,2000,36999
ID,bonneville,2000,82867
ID,boundary,2000,9908
ID,butte,2000,2899
ID,camas,2000,978
ID,canyon,2000,133053
ID,caribou,2000,7302
ID,cassia,2000,21393
ID,clark,2000,1024
ID,clearwater,2000,8886
ID,custer,2000,4336
ID,elmore,2000,29087
ID,franklin,2000,11348
ID,fremont,2000,11788
ID,gem,2000,15211
ID,gooding,2000,14205
ID,idaho,2000,15450
ID,jefferson,2000,19214
ID,jerome,2000,18431
ID,kootenai,2000,109541
ID,latah,2000,34884
ID,lemhi,2000,7735
ID,lewis,2000,3741
ID,lincoln,2000,4047
ID,madison,2000,27466
ID,minidoka,2000,20091
ID,nez perce,2000,37397
ID,oneida,2000,4136
ID,owyhee,2000,10690
ID,payette,2000,20634
ID,power,2000,7500
ID,shoshone,2000,13726
ID,teton,2000,6100
ID,twin falls,2000,64341
ID,valley,2000,7636
ID,washington,2000,9969
IL,adams,2000,68220
IL,alexander,2000,9584
IL,bond,2000,17650
IL,boone,2000,42053
IL,brown,2000,6963
IL,bureau,2000,35473
IL,calhoun,2000,5090
IL,carroll,2000,16626
IL,cass,2000,13680
IL,champaign,2000,179931
IL,christian,2000,35354
IL,clark,2000,16993
IL,clay,2000,14410
IL,clinton,2000,35536
IL,coles,2000,53078
IL,cook,2000,5376861
IL,crawford,2000,20398
IL,cumberland,2000,11256
IL,dekalb,2000,89334
IL,de witt,2000,16790
IL,douglas,2000,19925
IL,dupage,2000,906576
IL,edgar,2000,19657
IL,edwards,2000,6967
IL,effingham,2000,34260
IL,fayette,2000,21792
IL,ford,2000,14209
IL,franklin,2000,39016
IL,fulton,2000,38240
IL,gallatin,2000,6427
IL,greene,2000,14746
IL,grundy,2000,37678
IL,hamilton,2000,8604
IL,hancock,2000,20089
IL,hardin,2000,4787
IL,henderson,2000,8209
IL,henry,2000,51049
IL,iroquois,2000,31320
IL,jackson,2000,59612
IL,jasper,2000,10070
IL,jefferson,2000,40053
IL,jersey,2000,21655
IL,jo daviess,2000,22276
IL,johnson,2000,12920
IL,kane,2000,407511
IL,kankakee,2000,103879
IL,kendall,2000,55217
IL,knox,2000,55754
IL,lake,2000,648116
IL,lasalle,2000,111516
IL,lawrence,2000,15390
IL,lee,2000,36053
IL,livingston,2000,39651
IL,logan,2000,31149
IL,mcdonough,2000,32855
IL,mchenry,2000,261887
IL,mclean,2000,150897
IL,macon,2000,114476
IL,macoupin,2000,48989
IL,madison,2000,259120
IL,marion,2000,41687
IL,marshall,2000,13138
IL,mason,2000,16009
IL,massac,2000,15127
IL,menard,2000,12493
IL,mercer,2000,16950
IL,monroe,2000,27763
IL,montgomery,2000,30625
IL,morgan,2000,36617
IL,moultrie,2000,14319
IL,ogle,2000,51161
IL,peoria,2000,183166
IL,perry,2000,23061
IL,piatt,2000,16371
IL,pike,2000,17335
IL,pope,2000,4418
IL,pulaski,2000,7324
IL,putnam,2000,6075
IL,randolph,2000,33897
IL,richland,2000,16242
IL,rock island,2000,149143
IL,st. clair,2000,256208
IL,saline,2000,26631
IL,sangamon,2000,189093
IL,schuyler,2000,7189
IL,scott,2000,5539
IL,shelby,2000,22831
IL,stark,2000,6320
IL,stephenson,2000,48882
IL,tazewell,2000,128494
IL,union,2000,18256
IL,vermilion,2000,83796
IL,wabash,2000,12903
IL,warren,2000,18683
IL,washington,2000,15163
IL,wayne,2000,17124
IL,white,2000,15328
IL,whiteside,2000,60631
IL,will,2000,508038
IL,williamson,2000,61265
IL,winnebago,2000,278989
IL,woodford,2000,35484
IN,adams,2000,33612
IN,allen,2000,332744
IN,bartholomew,2000,71737
IN,benton,2000,9396
IN,blackford,2000,14006
IN,boone,2000,46380
IN,brown,2000,14987
IN,carroll,2000,20147
IN,cass,2000,40965
IN,clark,2000,96749
IN,clay,2000,26563
IN,clinton,2000,33968
IN,crawford,2000,10785
IN,daviess,2000,29828
IN,dearborn,2000,46344
IN,decatur,2000,24571
IN,dekalb,2000,40400
IN,delaware,2000,118733
IN,dubois,2000,39700
IN,elkhart,2000,183521
IN,fayette,2000,25556
IN,floyd,2000,70911
IN,fountain,2000,17917
IN,franklin,2000,22218
IN,fulton,2000,20553
IN,gibson,2000,32529
IN,grant,2000,73286
IN,greene,2000,33199
IN,hamilton,2000,185301
IN,hancock,2000,55662
IN,harrison,2000,34514
IN,hendricks,2000,105367
IN,henry,2000,48446
IN,howard,2000,84969
IN,huntington,2000,38099
IN,jackson,2000,41402
IN,jasper,2000,30176
IN,jay,2000,21791
IN,jefferson,2000,31728
IN,jennings,2000,27691
IN,johnson,2000,115936
IN,knox,2000,39193
IN,kosciusko,2000,74222
IN,lagrange,2000,34947
IN,lake,2000,484536
IN,laporte,2000,110158
IN,lawrence,2000,45925
IN,madison,2000,133275
IN,marion,2000,860972
IN,marshall,2000,45245
IN,martin,2000,10359
IN,miami,2000,36160
IN,monroe,2000,120760
IN,montgomery,2000,37603
IN,morgan,2000,66885
IN,newton,2000,14546
IN,noble,2000,46473
IN,ohio,2000,5636
IN,orange,2000,19320
IN,owen,2000,21872
IN,parke,2000,17217
IN,perry,2000,18880
IN,pike,2000,12815
IN,porter,2000,147164
IN,posey,2000,27064
IN,pulaski,2000,13739
IN,putnam,2000,36112
IN,randolph,2000,27375
IN,ripley,2000,26645
IN,rush,2000,18206
IN,st. joseph,2000,265859
IN,scott,2000,23034
IN,shelby,2000,43554
IN,spencer,2000,20414
IN,starke,2000,23523
IN,steuben,2000,33316
IN,sullivan,2000,21742
IN,switzerland,2000,9094
IN,tippecanoe,2000,149301
IN,tipton,2000,16559
IN,union,2000,7340
IN,vanderburgh,2000,171953
IN,vermillion,2000,16770
IN,vigo,2000,105738
IN,wabash,2000,34977
IN,warren,2000,8442
IN,warrick,2000,52517
IN,washington,2000,27262
IN,wayne,2000,71017
IN,wells,2000,27600
IN,white,2000,25224
IN,whitley,2000,30722
IA,adair,2000,8208
IA,adams,2000,4475
IA,allamakee,2000,14671
IA,appanoose,2000,13701
IA,audubon,2000,6807
IA,benton,2000,25338
IA,black hawk,2000,128024
IA,boone,2000,26247
IA,bremer,2000,23282
IA,buchanan,2000,21079
IA,buena vista,2000,20352
IA,butler,2000,15290
IA,calhoun,2000,11089
IA,carroll,2000,21377
IA,cass,2000,14672
IA,cedar,2000,18200
IA,cerro gordo,2000,46349
IA,cherokee,2000,13003
IA,chickasaw,2000,13063
IA,clarke,2000,9187
IA,clay,2000,17372
IA,clayton,2000,18607
IA,clinton,2000,50045
IA,crawford,2000,16927
IA,dallas,2000,41070
IA,davis,2000,8542
IA,decatur,2000,8659
IA,delaware,2000,18388
IA,des moines,2000,42284
IA,dickinson,2000,16461
IA,dubuque,2000,89232
IA,emmet,2000,10992
IA,fayette,2000,21992
IA,floyd,2000,16854
IA,franklin,2000,10682
IA,fremont,2000,7996
IA,greene,2000,10338
IA,grundy,2000,12362
IA,guthrie,2000,11341
IA,hamilton,2000,16413
IA,hancock,2000,12096
IA,hardin,2000,18816
IA,harrison,2000,15691
IA,henry,2000,20292
IA,howard,2000,9916
IA,humboldt,2000,10367
IA,ida,2000,7799
IA,iowa,2000,15708
IA,jackson,2000,20302
IA,jasper,2000,37215
IA,jefferson,2000,16154
IA,johnson,2000,111481
IA,jones,2000,20208
IA,keokuk,2000,11417
IA,kossuth,2000,17125
IA,lee,2000,37920
IA,linn,2000,192307
IA,louisa,2000,12170
IA,lucas,2000,9405
IA,lyon,2000,11741
IA,madison,2000,14058
IA,mahaska,2000,22304
IA,marion,2000,32101
IA,marshall,2000,39317
IA,mills,2000,14555
IA,mitchell,2000,10865
IA,monona,2000,10003
IA,monroe,2000,8001
IA,montgomery,2000,11791
IA,muscatine,2000,41799
IA,o'brien,2000,15066
IA,osceola,2000,6982
IA,page,2000,16917
IA,palo alto,2000,10136
IA,plymouth,2000,24849
IA,pocahontas,2000,8600
IA,polk,2000,375963
IA,pottawattamie,2000,87966
IA,poweshiek,2000,18834
IA,ringgold,2000,5461
IA,sac,2000,11474
IA,scott,2000,158678
IA,shelby,2000,13070
IA,sioux,2000,31561
IA,story,2000,80127
IA,tama,2000,18072
IA,taylor,2000,6978
IA,union,2000,12272
IA,van buren,2000,7817
IA,wapello,2000,36005
IA,warren,2000,40778
IA,washington,2000,20701
IA,wayne,2000,6725
IA,webster,2000,40195
IA,winnebago,2000,11743
IA,winneshiek,2000,21284
IA,woodbury,2000,103822
IA,worth,2000,7900
IA,wright,2000,14313
KS,allen,2000,14386
KS,anderson,2000,8090
KS,atchison,2000,16765
KS,barber,2000,5287
KS,barton,2000,28129
KS,bourbon,2000,15382
KS,brown,2000,10711
KS,butler,2000,59675
KS,chase,2000,3029
KS,chautauqua,2000,4347
KS,cherokee,2000,22549
KS,cheyenne,2000,3156
KS,clark,2000,2387
KS,clay,2000,8812
KS,cloud,2000,10226
KS,coffey,2000,8893
KS,comanche,2000,1956
KS,cowley,2000,36252
KS,crawford,2000,38233
KS,decatur,2000,3458
KS,dickinson,2000,19345
KS,doniphan,2000,8235
KS,douglas,2000,100295
KS,edwards,2000,3425
KS,elk,2000,3219
KS,ellis,2000,27455
KS,ellsworth,2000,6525
KS,finney,2000,40602
KS,ford,2000,32574
KS,franklin,2000,24851
KS,geary,2000,27677
KS,gove,2000,3067
KS,graham,2000,2921
KS,grant,2000,7878
KS,gray,2000,5904
KS,greeley,2000,1540
KS,greenwood,2000,7656
KS,hamilton,2000,2658
KS,harper,2000,6502
KS,harvey,2000,32877
KS,haskell,2000,4307
KS,hodgeman,2000,2084
KS,jackson,2000,12664
KS,jefferson,2000,18442
KS,jewell,2000,3759
KS,johnson,2000,454644
KS,kearny,2000,4512
KS,kingman,2000,8677
KS,kiowa,2000,3254
KS,labette,2000,22737
KS,lane,2000,2145
KS,leavenworth,2000,68921
KS,lincoln,2000,3574
KS,linn,2000,9599
KS,logan,2000,3048
KS,lyon,2000,35965
KS,mcpherson,2000,29571
KS,marion,2000,13377
KS,marshall,2000,10934
KS,meade,2000,4622
KS,miami,2000,28507
KS,mitchell,2000,6911
KS,montgomery,2000,36205
KS,morris,2000,6113
KS,morton,2000,3480
KS,nemaha,2000,10684
KS,neosho,2000,16944
KS,ness,2000,3440
KS,norton,2000,5948
KS,osage,2000,16758
KS,osborne,2000,4435
KS,ottawa,2000,6189
KS,pawnee,2000,7218
KS,phillips,2000,5994
KS,pottawatomie,2000,18277
KS,pratt,2000,9629
KS,rawlins,2000,2959
KS,reno,2000,64691
KS,republic,2000,5801
KS,rice,2000,10732
KS,riley,2000,63085
KS,rooks,2000,5663
KS,rush,2000,3534
KS,russell,2000,7353
KS,saline,2000,53646
KS,scott,2000,5096
KS,sedgwick,2000,453546
KS,seward,2000,22545
KS,shawnee,2000,170063
KS,sheridan,2000,2794
KS,sherman,2000,6746
KS,smith,2000,4515
KS,stafford,2000,4751
KS,stanton,2000,2402
KS,stevens,2000,5449
KS,sumner,2000,25947
KS,thomas,2000,8176
KS,trego,2000,3292
KS,wabaunsee,2000,6873
KS,wallace,2000,1740
KS,washington,2000,6472
KS,wichita,2000,2518
KS,wilson,2000,10304
KS,woodson,2000,3763
KS,wyandotte,2000,157857
KY,adair,2000,17285
KY,allen,2000,17810
KY,anderson,2000,19184
KY,ballard,2000,8300
KY,barren,2000,38118
KY,bath,2000,11128
KY,bell,2000,30041
KY,boone,2000,87006
KY,bourbon,2000,19364
KY,boyd,2000,49662
KY,boyle,2000,27703
KY,bracken,2000,8277
KY,breathitt,2000,16061
KY,breckinridge,2000,18678
KY,bullitt,2000,61633
KY,butler,2000,13039
KY,caldwell,2000,13039
KY,calloway,2000,34171
KY,campbell,2000,88659
KY,carlisle,2000,5342
KY,carroll,2000,10162
KY,carter,2000,26867
KY,casey,2000,15481
KY,christian,2000,72414
KY,clark,2000,33223
KY,clay,2000,24503
KY,clinton,2000,9629
KY,crittenden,2000,9404
KY,cumberland,2000,7163
KY,daviess,2000,91607
KY,edmonson,2000,11654
KY,elliott,2000,6781
KY,estill,2000,15309
KY,fayette,2000,261189
KY,fleming,2000,13856
KY,floyd,2000,42380
KY,franklin,2000,47848
KY,fulton,2000,7697
KY,gallatin,2000,7884
KY,garrard,2000,14862
KY,grant,2000,22545
KY,graves,2000,37083
KY,grayson,2000,24116
KY,green,2000,11549
KY,greenup,2000,36832
KY,hancock,2000,8422
KY,hardin,2000,94295
KY,harlan,2000,32999
KY,harrison,2000,18025
KY,hart,2000,17532
KY,henderson,2000,44816
KY,henry,2000,15097
KY,hickman,2000,5248
KY,hopkins,2000,46457
KY,jackson,2000,13511
KY,jefferson,2000,694067
KY,jessamine,2000,39206
KY,johnson,2000,23341
KY,kenton,2000,151683
KY,knott,2000,17613
KY,knox,2000,31846
KY,larue,2000,13399
KY,laurel,2000,52918
KY,lawrence,2000,15587
KY,lee,2000,7919
KY,leslie,2000,12370
KY,letcher,2000,25217
KY,lewis,2000,14124
KY,lincoln,2000,23464
KY,livingston,2000,9814
KY,logan,2000,26601
KY,lyon,2000,8107
KY,mccracken,2000,65440
KY,mccreary,2000,17066
KY,mclean,2000,9977
KY,madison,2000,71308
KY,magoffin,2000,13317
KY,marion,2000,18208
KY,marshall,2000,30121
KY,martin,2000,12560
KY,mason,2000,16786
KY,meade,2000,26523
KY,menifee,2000,6595
KY,mercer,2000,20826
KY,metcalfe,2000,10020
KY,monroe,2000,11739
KY,montgomery,2000,22663
KY,morgan,2000,13967
KY,muhlenberg,2000,31796
KY,nelson,2000,37677
KY,nicholas,2000,6784
KY,ohio,2000,22918
KY,oldham,2000,46981
KY,owen,2000,10574
KY,owsley,2000,4863
KY,pendleton,2000,14488
KY,perry,2000,29287
KY,pike,2000,68490
KY,powell,2000,13280
KY,pulaski,2000,56336
KY,robertson,2000,2264
KY,rockcastle,2000,16636
KY,rowan,2000,22070
KY,russell,2000,16328
KY,scott,2000,33407
KY,shelby,2000,33548
KY,simpson,2000,16413
KY,spencer,2000,11995
KY,taylor,2000,22917
KY,todd,2000,11943
KY,trigg,2000,12633
